caseid,complete_stat,is_volenteer,dh1gage,sex,marrige_stat,living_stat,province,vol_times,vol_fre,vol_time,is_work,is_workalone,gavin_times,gavin_sum,emp_stat,degree,is_citizens,is_school,is_immigration,happiness
9099,Complete,Volunteer and giver,35-44 years,Female,Married,Spouse and single/non-single child(ren),Ontario,"NA",At least 3 or 4 times (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9100,Complete,Not a volunteer but a giver,65 years and over,Female,Widowed,Alone,Ontario,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,Very satisfied
9101,Complete,Not a volunteer but a giver,65 years and over,Female,Married,Spouse only,Ontario,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
9102,Complete,Volunteer and giver,35-44 years,Male,Married,Spouse and single/non-single child(ren),New Brunswick,"NA",At least once a week,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9103,Complete,Volunteer and giver,65 years and over,Female,Widowed,Alone,Newfoundland and Labrador,"NA",At least 3 or 4 times (in the past 12 months),"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,Very dissatisfied
9104,Complete,"Volunteer, not giver",45-54 years,Male,"Single, never married",Alone,Quebec,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,Less than High School,Canadian citizen by birth only,No,Valid skip,"NA"
9105,Complete,Volunteer and giver,65 years and over,Female,Married,Spouse only,Ontario,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9106,Complete,Not a volunteer but a giver,65 years and over,Female,Widowed,Alone,Prince Edward Island,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Not stated,Canadian citizen by birth only,No,Valid skip,Very satisfied
9107,Complete,Volunteer and giver,25-34 years,Male,"Single, never married",Living with one or two parents,British Columbia,"NA",At least 3 or 4 times (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9108,Complete,Volunteer and giver,65 years and over,Female,Married,Spouse only,Manitoba,"NA",Daily or almost daily,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,Very satisfied
9109,Complete,Not a volunteer but a giver,55-64 years,Female,Married,Spouse only,New Brunswick,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
9110,Complete,Volunteer and giver,45-54 years,Female,Divorced,Single/non-single child(ren) only,British Columbia,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Undetermined,No,Valid skip,"NA"
9111,Complete,Volunteer and giver,35-44 years,Male,Married,Spouse and single/non-single child(ren),Alberta,"NA",At least once a month,"NA",Yes,Yes,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by naturalization only,No,No,"NA"
9112,Partial,Volunteer and giver,55-64 years,Female,Married,Spouse only,Prince Edward Island,"NA",Once or twice (in the past 12 months),"NA",Not stated,Valid skip,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
9113,Complete,Not a volunteer but a giver,65 years and over,Female,Divorced,Alone,British Columbia,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
9114,Complete,Volunteer and giver,55-64 years,Female,"Single, never married",Alone,British Columbia,"NA",At least once a week,"NA",Yes,Yes,"NA","NA",Unemployed,Post-secondary diploma,Canadian citizen by birth and other citizenship(s),Yes,Valid skip,"NA"
9115,Complete,Volunteer and giver,65 years and over,Male,Married,Spouse and single/non-single child(ren),Quebec,"NA",Daily or almost daily,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,Very satisfied
9116,Complete,Not a volunteer but a giver,45-54 years,Female,Widowed,Alone,British Columbia,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,University Diploma,Canadian citizen by naturalization and other citizenship(s),No,Yes,Very dissatisfied
9117,Complete,Volunteer and giver,45-54 years,Female,Married,Spouse and single/non-single child(ren),Quebec,"NA",Once or twice (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9118,Complete,"Volunteer, not giver",35-44 years,Male,"Single, never married",Other living arrangement,Newfoundland and Labrador,"NA",At least once a week,"NA",Yes,Yes,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9119,Complete,Volunteer and giver,65 years and over,Male,Married,Spouse and single/non-single child(ren),Prince Edward Island,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Not in labour force,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9120,Complete,"Volunteer, not giver",15-24 years,Male,"Single, never married",Living with one or two parents,British Columbia,"NA",At least once a week,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,Yes,Valid skip,"NA"
9121,Complete,Volunteer and giver,15-24 years,Female,"Single, never married",Living with one or two parents,Ontario,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Other citizenship(s) non-Canadian only,Yes,Yes,"NA"
9122,Complete,Not a volunteer but a giver,65 years and over,Female,Widowed,Other living arrangement,Manitoba,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
9123,Complete,Not a volunteer but a giver,55-64 years,Female,Married,Spouse only,Ontario,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
9124,Partial,Not a volunteer but a giver,15-24 years,Female,"Single, never married",Alone,Manitoba,"NA",Valid skip,"NA",Yes,Yes,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
9125,Complete,Not a volunteer but a giver,65 years and over,Female,Widowed,Alone,Nova Scotia,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,Very satisfied
9126,Complete,"Volunteer, not giver",65 years and over,Male,Married,Spouse and single/non-single child(ren),British Columbia,"NA",At least once a month,"NA",Yes,Yes,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
9127,Complete,Volunteer and giver,35-44 years,Male,"Single, never married",Living with one or two parents,Quebec,"NA",Once or twice (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
9128,Complete,"Volunteer, not giver",15-24 years,Female,"Single, never married",Living with one or two parents,Ontario,"NA",At least 3 or 4 times (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,Less than High School,Canadian citizen by birth only,Yes,Valid skip,"NA"
9129,Complete,Not a volunteer but a giver,55-64 years,Male,Married,Spouse only,Ontario,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
9130,Complete,Volunteer and giver,65 years and over,Male,Married,Spouse only,Alberta,"NA",Daily or almost daily,"NA",Yes,Yes,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,No,Very satisfied
9131,Complete,Not a volunteer but a giver,45-54 years,Female,"Single, never married",Alone,Newfoundland and Labrador,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9132,Complete,Volunteer and giver,65 years and over,Female,Married,Spouse only,British Columbia,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,"NA"
9133,Complete,Neither volunteer nor giver,65 years and over,Male,Widowed,Alone,Ontario,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Unable to determine,Post-secondary diploma,Canadian citizen by naturalization and other citizenship(s),No,Don't know,"NA"
9134,Complete,Not a volunteer but a giver,35-44 years,Male,Living common-law,Spouse and single/non-single child(ren),Quebec,"NA",Valid skip,"NA",Yes,Yes,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9135,Complete,Volunteer and giver,45-54 years,Male,Married,Spouse and single/non-single child(ren),Prince Edward Island,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
9136,Complete,Volunteer and giver,25-34 years,Female,Married,Spouse and single/non-single child(ren),British Columbia,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9137,Complete,Not a volunteer but a giver,65 years and over,Female,Separated,Alone,Quebec,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,"NA"
9138,Complete,Not a volunteer but a giver,55-64 years,Female,Married,Spouse only,Ontario,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,Very satisfied
9139,Complete,Not a volunteer but a giver,35-44 years,Female,Married,Spouse only,Ontario,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,Yes,Valid skip,"NA"
9140,Complete,Not a volunteer but a giver,65 years and over,Female,Widowed,Alone,Ontario,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,Very satisfied
9141,Complete,Volunteer and giver,65 years and over,Female,Married,Spouse only,Quebec,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Not in labour force,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9142,Complete,Not a volunteer but a giver,45-54 years,Female,Married,Spouse only,British Columbia,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,Very satisfied
9143,Complete,Volunteer and giver,45-54 years,Male,Living common-law,Spouse and single/non-single child(ren),British Columbia,"NA",At least once a month,"NA",Yes,Yes,"NA","NA",Employed,University Diploma,Canadian citizen by birth and other citizenship(s),No,No,"NA"
9144,Complete,Not a volunteer but a giver,65 years and over,Female,Widowed,Other living arrangement,Nova Scotia,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9145,Complete,Neither volunteer nor giver,45-54 years,Female,Widowed,Living with one or two parents,Quebec,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,Very satisfied
9146,Complete,Volunteer and giver,35-44 years,Male,Married,Spouse and single/non-single child(ren),Nova Scotia,"NA",At least once a week,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
9147,Complete,Volunteer and giver,55-64 years,Male,Married,Spouse only,Quebec,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,Very satisfied
9148,Complete,Not a volunteer but a giver,25-34 years,Female,"Single, never married",Alone,Saskatchewan,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9149,Complete,Not a volunteer but a giver,65 years and over,Female,Widowed,Alone,Prince Edward Island,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9150,Complete,Not a volunteer but a giver,65 years and over,Female,Married,Spouse only,Ontario,"NA",Valid skip,"NA",Yes,No,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,"NA"
9151,Complete,Volunteer and giver,55-64 years,Male,Divorced,Alone,Newfoundland and Labrador,"NA",Daily or almost daily,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9152,Complete,Not a volunteer but a giver,55-64 years,Female,Divorced,Other living arrangement,Quebec,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
9153,Complete,Volunteer and giver,35-44 years,Male,Divorced,Alone,Manitoba,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9154,Complete,Volunteer and giver,45-54 years,Female,Living common-law,Spouse and single/non-single child(ren),Quebec,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,Yes,Valid skip,"NA"
9155,Complete,Volunteer and giver,65 years and over,Male,Married,Spouse only,Newfoundland and Labrador,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,Very satisfied
9156,Complete,Volunteer and giver,45-54 years,Male,Married,Spouse and single/non-single child(ren),Nova Scotia,"NA",Once or twice (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
9157,Complete,Not a volunteer but a giver,15-24 years,Female,"Single, never married",Living with one or two parents,Nova Scotia,"NA",Valid skip,"NA",Yes,No,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,Yes,Valid skip,Very satisfied
9158,Complete,Volunteer and giver,55-64 years,Female,Married,Spouse only,Nova Scotia,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Not in labour force,University Diploma,Canadian citizen by naturalization and other citizenship(s),No,Yes,"NA"
9159,Complete,Volunteer and giver,65 years and over,Male,Married,Spouse only,Nova Scotia,"NA",At least once a week,"NA",Yes,Yes,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
9160,Complete,Volunteer and giver,65 years and over,Female,Married,Spouse only,Ontario,"NA",At least once a week,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
9161,Complete,Volunteer and giver,25-34 years,Female,Living common-law,Spouse and single/non-single child(ren),Alberta,"NA",At least 3 or 4 times (in the past 12 months),"NA",Yes,Yes,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9162,Complete,Not a volunteer but a giver,55-64 years,Female,"Single, never married",Living with one or two parents,Manitoba,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by naturalization only,No,Yes,"NA"
9163,Complete,Not a volunteer but a giver,45-54 years,Female,Married,Spouse only,Ontario,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,Very dissatisfied
9164,Complete,Not a volunteer but a giver,65 years and over,Female,Married,Spouse and single/non-single child(ren),Newfoundland and Labrador,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,Very satisfied
9165,Complete,Volunteer and giver,55-64 years,Male,Married,Spouse and single/non-single child(ren),Prince Edward Island,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9166,Complete,Not a volunteer but a giver,55-64 years,Female,Married,Spouse only,Quebec,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9167,Complete,Neither volunteer nor giver,65 years and over,Female,Widowed,Alone,British Columbia,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Not stated,Undetermined,No,Refusal,"NA"
9168,Complete,Not a volunteer but a giver,35-44 years,Male,Married,Spouse and single/non-single child(ren),Alberta,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9169,Complete,Neither volunteer nor giver,15-24 years,Male,"Single, never married",Living with one or two parents,Quebec,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by naturalization and other citizenship(s),No,No,"NA"
9170,Complete,Not a volunteer but a giver,45-54 years,Male,"Single, never married",Alone,Quebec,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
9171,Complete,Volunteer and giver,65 years and over,Female,"Single, never married",Alone,British Columbia,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9172,Complete,Neither volunteer nor giver,65 years and over,Male,Married,Spouse and single/non-single child(ren),Prince Edward Island,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,"NA"
9173,Complete,"Volunteer, not giver",35-44 years,Male,Living common-law,Spouse and single/non-single child(ren),Quebec,"NA",At least 3 or 4 times (in the past 12 months),"NA",No,Valid skip,"NA","NA",Unemployed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9174,Complete,Volunteer and giver,35-44 years,Female,Married,Spouse and single/non-single child(ren),Newfoundland and Labrador,"NA",At least once a month,"NA",Yes,Yes,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9175,Complete,Volunteer and giver,45-54 years,Female,Married,Spouse and single/non-single child(ren),Ontario,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
9176,Complete,Volunteer and giver,35-44 years,Female,Living common-law,Spouse only,British Columbia,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth and other citizenship(s),No,Valid skip,"NA"
9177,Complete,Volunteer and giver,45-54 years,Male,Married,Spouse only,New Brunswick,"NA",At least 3 or 4 times (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
9178,Complete,Volunteer and giver,45-54 years,Female,Divorced,Alone,Saskatchewan,"NA",At least once a week,"NA",Yes,Yes,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
9179,Complete,Not a volunteer but a giver,45-54 years,Female,Married,Spouse and single/non-single child(ren),Quebec,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9180,Complete,Volunteer and giver,25-34 years,Female,Separated,Single/non-single child(ren) only,British Columbia,"NA",Daily or almost daily,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
9181,Complete,Volunteer and giver,55-64 years,Female,Married,Spouse only,Saskatchewan,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
9182,Complete,Not a volunteer but a giver,35-44 years,Female,"Single, never married",Alone,Manitoba,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9183,Complete,Not a volunteer but a giver,65 years and over,Male,Widowed,Alone,Quebec,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,"NA"
9184,Complete,Not a volunteer but a giver,55-64 years,Male,Married,Spouse only,Newfoundland and Labrador,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9185,Complete,Not a volunteer but a giver,65 years and over,Male,Married,Spouse only,British Columbia,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth and other citizenship(s),No,Yes,Very satisfied
9186,Complete,Volunteer and giver,55-64 years,Male,Married,Spouse and single/non-single child(ren),Ontario,"NA",Daily or almost daily,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by naturalization only,No,Yes,"NA"
9187,Complete,Neither volunteer nor giver,35-44 years,Female,Divorced,Single/non-single child(ren) only,Manitoba,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
9188,Complete,Not a volunteer but a giver,65 years and over,Male,Widowed,Alone,British Columbia,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Other citizenship(s) non-Canadian only,No,Yes,"NA"
9189,Partial,Not a volunteer but a giver,25-34 years,Male,Married,Alone,Saskatchewan,"NA",Valid skip,"NA",Yes,No,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
9190,Complete,Volunteer and giver,55-64 years,Female,Married,Spouse only,British Columbia,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9191,Complete,Not a volunteer but a giver,55-64 years,Male,Married,Spouse only,Manitoba,"NA",Valid skip,"NA",Yes,Yes,"NA","NA",Not in labour force,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9192,Complete,Volunteer and giver,35-44 years,Female,Married,Spouse and single/non-single child(ren),Ontario,"NA",At least 3 or 4 times (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9193,Partial,Volunteer and giver,65 years and over,Male,Living common-law,Spouse only,Quebec,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
9194,Complete,Volunteer and giver,65 years and over,Male,Married,Spouse only,Ontario,"NA",Daily or almost daily,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by naturalization and other citizenship(s),No,Yes,Very satisfied
9195,Complete,Volunteer and giver,55-64 years,Female,Married,Spouse only,Nova Scotia,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by naturalization and other citizenship(s),No,Yes,"NA"
9196,Complete,Volunteer and giver,65 years and over,Female,Married,Spouse only,Manitoba,"NA",At least once a week,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,"NA"
9197,Complete,Not a volunteer but a giver,35-44 years,Male,Married,Spouse and single/non-single child(ren),Ontario,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9198,Complete,Volunteer and giver,45-54 years,Male,Married,Other living arrangement,Alberta,"NA",Once or twice (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9199,Complete,Not a volunteer but a giver,65 years and over,Female,Widowed,Alone,Quebec,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,Yes,Valid skip,Very satisfied
9200,Complete,Not a volunteer but a giver,65 years and over,Female,"Single, never married",Alone,Alberta,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Less than High School,Canadian citizen by naturalization and other citizenship(s),No,Yes,Very satisfied
9201,Complete,Not a volunteer but a giver,55-64 years,Male,Married,Spouse and single/non-single child(ren),Saskatchewan,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
9202,Complete,Volunteer and giver,65 years and over,Male,Married,Spouse only,Manitoba,"NA",Daily or almost daily,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,"NA"
9203,Complete,Volunteer and giver,35-44 years,Male,Married,Spouse and single/non-single child(ren),Prince Edward Island,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9204,Complete,Volunteer and giver,15-24 years,Female,"Single, never married",Living with one or two parents,Ontario,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,Yes,Valid skip,"NA"
9205,Complete,Volunteer and giver,45-54 years,Female,Married,Spouse and single/non-single child(ren),Newfoundland and Labrador,"NA",At least 3 or 4 times (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9206,Complete,Volunteer and giver,25-34 years,Female,Living common-law,Spouse only,British Columbia,"NA",At least 3 or 4 times (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
9207,Complete,Volunteer and giver,35-44 years,Male,Married,Spouse and single/non-single child(ren),New Brunswick,"NA",Once or twice (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9208,Complete,Not a volunteer but a giver,55-64 years,Female,"Single, never married",Alone,Prince Edward Island,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
9209,Complete,Volunteer and giver,65 years and over,Female,Widowed,Alone,New Brunswick,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Not in labour force,University Diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
9210,Complete,Volunteer and giver,65 years and over,Female,Married,Spouse only,Saskatchewan,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Not in labour force,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
9211,Complete,Volunteer and giver,45-54 years,Female,Married,Spouse and single/non-single child(ren),Saskatchewan,"NA",At least once a week,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
9212,Complete,"Volunteer, not giver",25-34 years,Male,"Single, never married",Alone,British Columbia,"NA",At least once a week,"NA",Yes,No,"NA","NA",Unemployed,Graduated from High school,Canadian citizen by birth only,Yes,Valid skip,"NA"
9213,Complete,Not a volunteer but a giver,45-54 years,Female,Married,Spouse and single/non-single child(ren),Ontario,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by naturalization and other citizenship(s),No,Yes,"NA"
9214,Complete,Volunteer and giver,65 years and over,Male,Married,Spouse and single/non-single child(ren),Ontario,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Not in labour force,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9215,Complete,"Volunteer, not giver",55-64 years,Male,"Single, never married",Alone,Ontario,"NA",Daily or almost daily,"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
9216,Complete,Volunteer and giver,65 years and over,Female,Widowed,Alone,British Columbia,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by naturalization and other citizenship(s),No,Yes,Very satisfied
9217,Complete,Volunteer and giver,45-54 years,Male,Married,Spouse and single/non-single child(ren),Quebec,"NA",At least once a month,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,Yes,Valid skip,"NA"
9218,Complete,Volunteer and giver,35-44 years,Male,Married,Spouse and single/non-single child(ren),Prince Edward Island,"NA",At least once a week,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
